Implemented,study-id,result-id,Coded?,Result description,Relevant claim,Claim in abstract,Research question importance,Location in paper,Region of qualitative similarity,Individual-level,Population variable,Estimation method,Design,Stata cmd,Time index,Geographic index,Other indices,Notes
1,topalova-2010,tariff-urbanpoverty,1,Effect of tariff on poverty rate for urban india,"Rural districts, in which production sectors more exposed to liberalization were concentrated, experienced slower decline in poverty and lower consumption growth. Tables 3A and 3B present estimates of the effect of liberalization on poverty and average consumption in rural and urban India, respectively.",1,Co-Primary,"Table 3B, column 3, Panel A, coef on Tariff","negative, significant",,n,IV,Panel,ivreg,2 years,Indian district,,
1,topalova-2010,tariff-urbanexpense,1,Effect of tariff on per capita expenditure for urban india,"Rural districts, in which production sectors more exposed to liberalization were concentrated, experienced slower decline in poverty and lower consumption growth. Tables 3A and 3B present estimates of the effect of liberalization on poverty and average consumption in rural and urban India, respectively.",1,Co-Primary,"Table 3B, column 4, Panel B, coef on Tariff","positive, significant",,n,IV,Panel,ivreg,2 years,Indian district,,
1,chodorow-2012,ivgov-fmap,1,"Effect of every $100,000 in FMAP on states’ employment in the government,
health, and education sectors","In our preferred specification, a state’s receipt of a marginal $100,000 in Medicaid outlays results in an additional 3.8 jobyears, 3.2 of which are outside the government, health, and education sectors. (JEL H75, I18, I38, R23)... The coefficient on
(6) suggests that for every $100,000 in FMAP outlays per individual 16+ that
a state received by June 30, 2010, that states’ employment in the government,
health, and education sectors increased by 1.17 per individual 16+ over the period
considered.",1,Co-Primary,"Table 4, column 6, Total FMAP payout per ","positive,significant",,pop16plus,IV,Panel,ivregress,,state,,
1,chodorow-2012,ivtotal-fmap,1,"Effect of every $100,000 in FMAP on total employment","In our preferred specification, a state’s receipt of a marginal $100,000 in Medicaid outlays results in an additional 3.8 jobyears, 3.2 of which are outside the government, health, and education sectors... The coefficient in (6), the preferred specification, suggests that for every $100,000 in FMAP outlays per individual 16+ that a state received by June 30, 2010, that states’ total employment increased by 2.83 per individual 16+ from December 2008 to July 2009. Section VI provides further discussion of how to interpret this magnitude.",1,Co-Primary,"Table 3, column 6, Total FMAP payout per","positive, significant",,pop16plus,IV,Panel,ivregress,,state,,
1,guzman-2022,edi-covidcase,1,Effect of EDI (ethnic diversity index) of COVID-19 cases,"United States counties with higher levels of ethnic divisions fared worse after lockdowns in COVID-19 cases and deaths. Consistent with the results of the federal policy, we find that following the CSOE, there were over 344 more cases and 16 more deaths of COVID-19 per 100,000 inhabitants in the highest EDI counties than in the lowest EDI counties",1,Co-Primary,"Table 1, Panel C, Column 3, Coeff of Post county emergency × EDI","positive, significant",,pop,DID,Panel,reghdfe,day,U.S. county,,
1,guzman-2022,edi-coviddeath,1,Effect of EDI of COVID-19 death,"United States counties with higher levels of ethnic divisions fared worse after lockdowns in COVID-19 cases and deaths. Consistent with the results of the federal policy, we find that following the CSOE, there were over 344 more cases and 16 more deaths of COVID-19 per 100,000 inhabitants in the highest EDI counties than in the lowest EDI counties",1,Co-Primary,"Table 1, Panel D, Column 3, Coeff of Post county emergency × EDI","positive, significant",,pop,DID,Panel,reghdfe,day,U.S. county,,
1,guzman-2022,edi_bmediancase,1,Effect of EDI of COVID-19 case for counties with below-median levels of residential segregation,"Ethnic diversity matters little for COVID-19 outcomes, except where racial residential segregation— which measures ethnic divisions—is present. Similarly, following the CSOE, EDI marginally increased COVID-19 cases and deaths by 282 and 12 per 100,000 inhabitants, respectively, in counties with below-median levels of residential segregation compared to 397 and 19 per 100,000 inhabitants, respectively, in counties with above-median levels of residential segregation",1,Co-Primary,"Table 1, Panel C, Column 5, Coeff of Post  county emergency declaration × EDI","positive, significant",,pop,DID,Panel,reghdfe,day,U.S. county,,
1,guzman-2022,edi_bmediandeath,1,Effect of EDI of COVID-19 death for counties with below-median levels of residential segregation,"Ethnic diversity matters little for COVID-19 outcomes, except where racial residential segregation— which measures ethnic divisions—is present. Similarly, following the CSOE, EDI marginally increased COVID-19 cases and deaths by 282 and 12 per 100,000 inhabitants, respectively, in counties with below-median levels of residential segregation compared to 397 and 19 per 100,000 inhabitants, respectively, in counties with above-median levels of residential segregation",1,Co-Primary,"Table 1, Panel D, Column 5, Coeff of Post  county emergency declaration × EDI","positive, significant",,pop,DID,Panel,reghdfe,day,U.S. county,,
1,guzman-2022,edi_amediancase,1,Effect of EDI of COVID-19 case for counties with above-median levels of residential segregation,"Ethnic diversity matters little for COVID-19 outcomes, except where racial residential segregation— which measures ethnic divisions—is present. Similarly, following the CSOE, EDI marginally increased COVID-19 cases and deaths by 282 and 12 per 100,000 inhabitants, respectively, in counties with below-median levels of residential segregation compared to 397 and 19 per 100,000 inhabitants, respectively, in counties with above-median levels of residential segregation",1,Co-Primary,"Table 1, Panel C, Column 7, Coeff of Post  county emergency declaration × EDI","positive, significant",,pop,DID,Panel,reghdfe,day,U.S. county,,
1,guzman-2022,edi_amediandeath,1,Effect of EDI of COVID-19 death for counties with above-median levels of residential segregation,"Ethnic diversity matters little for COVID-19 outcomes, except where racial residential segregation— which measures ethnic divisions—is present. Similarly, following the CSOE, EDI marginally increased COVID-19 cases and deaths by 282 and 12 per 100,000 inhabitants, respectively, in counties with below-median levels of residential segregation compared to 397 and 19 per 100,000 inhabitants, respectively, in counties with above-median levels of residential segregation",1,Co-Primary,"Table 1, Panel D, Column 7, Coeff of Post  county emergency declaration × EDI","positive, significant",,pop,DID,Panel,reghdfe,day,U.S. county,,
1,dhaliwal-2020,ruralremote-spend,1,The Distribution of Expenditures Between Districts in California,"Drawing on 15 years of financial data from California school districts, we find variation in the funding levels of rural districts but few differences in the ways resources are allocated and only modest evidence of constrained spending in rural areas. Our results suggest differences in overall spending levels, though primarily for remote rural districts. As seen in Table 3, column 1, consistent with previous literature, remote rural districts spend $22,665 per pupil overall",1,Co-Primary,"Table 3, column 1, Rural remote","positive, significant",,k12ada,OLS,Panel,regress,year,U.S. school district,,
1,dhaliwal-2020,ruraldistant-spend,1,The Distribution of Expenditures Between Districts in California,"Drawing on 15 years of financial data from California school districts, we find variation in the funding levels of rural districts but few differences in the ways resources are allocated and only modest evidence of constrained spending in rural areas. other rural districts spend considerably less—much closer to spending in nonrural districts. For example, total per-pupil expenditures in distant rural districts are $5,136 lower than in remote districts",1,Co-Primary,"Table 3, column 1, Rural distant","negative, significant",,k12ada,OLS,Panel,regress,year,U.S. school district,,
1,dhaliwal-2020,ruralfringe-spend,1,The Distribution of Expenditures Between Districts in California,"Drawing on 15 years of financial data from California school districts, we find variation in the funding levels of rural districts but few differences in the ways resources are allocated and only modest evidence of constrained spending in rural areas. other rural districts spend considerably less—much closer to spending in nonrural districts. For example, total per-pupil expenditures in distant rural districts are $5,136 lower than in remote districts while fringe districts spend 7643 less",1,Co-Primary,"Table 3, column 1, Rural fringe","negative, significant",,k12ada,OLS,Panel,regress,year,U.S. school district,,
1,dhaliwal-2020,ruralremote-change,0,Changes in per-ADA Expenditures in Total between 2017–2018 and 2012–2013 for rural remote,"Our results suggest that spending progressivity (i.e., spending advantage of higher-poverty districts) has increased since LCFF, although progressivity is lowest in rural districts by the end of the data panel.",1,Secondary,"Table 6, column 9, rural remote","positive, significant",,k12ada,OLS,Panel,regress,year,U.S. school district,,
1,maestas-2014,reform-applicate2007,1,Effect of Health Insurance Reform on Disability Application in 2007,"This paper uses Social Security Administration (SSA) administrative data to analyze changes in SSDI and SSI application rates in Massachusetts before and after the reform relative to comparison states with similar size, demographics, and geographic location. // Panel A of Table 1 shows that while controlling for common shocks and unemployment differences using state-level difference-in-differences data, the Massachusetts reform had little effect in FY 2007, increased disability applications by 0.08 per 1,000 working-age residents (3%) in FY 2008 compared to neighboring states, and showed no effect in FY 2009.",1,Co-Primary,"Table 1, column 1, Panel A, Coeff of MA × FY2007","positive, significant",,wapop,DID,Panel,reg,year,U.S. state,,
1,maestas-2014,reform-applicate2008,1,Effect of Health Insurance Reform on Disability Application in 2008,"This paper uses Social Security Administration (SSA) administrative data to analyze changes in SSDI and SSI application rates in Massachusetts before and after the reform relative to comparison states with similar size, demographics, and geographic location. // Panel A of Table 1 shows that while controlling for common shocks and unemployment differences using state-level difference-in-differences data, the Massachusetts reform had little effect in FY 2007, increased disability applications by 0.08 per 1,000 working-age residents (3%) in FY 2008 compared to neighboring states, and showed no effect in FY 2009.",1,Co-Primary,"Table 1, column 1, Panel A, Coeff of MA × FY2008","positive, significant",,wapop,DID,Panel,reg,year,U.S. state,,
1,maestas-2014,reform-applicate2009,1,Effect of Health Insurance Reform on Disability Application in 2009,"This paper uses Social Security Administration (SSA) administrative data to analyze changes in SSDI and SSI application rates in Massachusetts before and after the reform relative to comparison states with similar size, demographics, and geographic location. // Panel A of Table 1 shows that while controlling for common shocks and unemployment differences using state-level difference-in-differences data, the Massachusetts reform had little effect in FY 2007, increased disability applications by 0.08 per 1,000 working-age residents (3%) in FY 2008 compared to neighboring states, and showed no effect in FY 2009.",1,Co-Primary,"Table 1, column 1, Panel A, Coeff of MA × FY2009","positive, insignificant",,wapop,DID,Panel,reg,year,U.S. state,,
1,maestas-2014,reform-highcounty08,1,Effect of Health Insurance Reform on Disability application in High-insurance counties in FY2008,The total number of disability applications (SSDI and SSI combined) increased in high-health-insurance counties (consistent with employment lock release) and decreased in low-insurance counties (consistent with reduced SSI value).,1,Co-Primary,"Table 1, column 1, Panel D, Coeff of MA × FY2008","positive, significant",,wapop,DID,Panel,reg,year,U.S. county,,
1,maestas-2014,reform-lowcounty07,1,Effect of Health Insurance Reform on Disability application in Low-insurance counties in FY 2007,"With high-insurance counties mirroring overall estimates, low-insurance counties showing a net decrease in FY 2008 relative to neighbors, and an earlier effect in FY 2007 due to early Medicaid expansion, despite SSDI-only applications increasing in low-insurance counties with less prereform ESHI.",1,Co-Primary,"Table 1, column 1, Panel C, Coeff of MA × FY2007","negative, significant",,wapop,DID,Panel,reg,year,U.S. county,,
1,maestas-2014,reform-lowcounty08,1,Effect of Health Insurance Reform on Disability application in Low-insurance counties in FY 2008,"With high-insurance counties mirroring overall estimates, low-insurance counties showing a net decrease in FY 2008 relative to neighbors, and an earlier effect in FY 2007 due to early Medicaid expansion, despite SSDI-only applications increasing in low-insurance counties with less prereform ESHI.",1,Co-Primary,"Table 1, column 1, Panel C, Coeff of MA × FY2008","negative, significant",,wapop,DID,Panel,reg,year,U.S. county,,
1,maestas-2014,reform-lowssi07,1,Effect of Health Insurance Reform on SSI application in Low-insurance counties in FY 2007,The total number of disability applications (SSDI and SSI combined) increased in high-health-insurance counties (consistent with employment lock release) and decreased in low-insurance counties (consistent with reduced SSI value).,1,Secondary,"Table 1, column 3, Panel C, Coeff of MA × FY2007","negative, significant",,wapop,DID,Panel,reg,year,U.S. county,,
1,maestas-2014,reform-lowssi08,1,Effect of Health Insurance Reform on SSI application in Low-insurance counties in FY 2008,The total number of disability applications (SSDI and SSI combined) increased in high-health-insurance counties (consistent with employment lock release) and decreased in low-insurance counties (consistent with reduced SSI value).,1,Secondary,"Table 1, column 3, Panel C, Coeff of MA × FY2008","negative, significant",,wapop,DID,Panel,reg,year,U.S. county,,
1,maestas-2014,reform-lowssdi08,1,Effect of Health Insurance Reform on SSDI-only application in Low-insurance counties in FY 2008,"With high-insurance counties mirroring overall estimates, low-insurance counties showing a net decrease in FY 2008 relative to neighbors, and an earlier effect in FY 2007 due to early Medicaid expansion, despite SSDI-only applications increasing in low-insurance counties with less prereform ESHI.",1,Secondary,"Table 1, column 2, Panel C, Coeff of MA × FY2008","positive, significant",,wapop,DID,Panel,reg,year,U.S. county,,
1,dickstein-2015,bundle-insurer,1,Effect of Small County Bundled with One or More Populous Counties on number of health insurers,"In our first set of analyses, we investigate whether the number of insurers and the benchmark premium in less populous counties varies with the population of the region of which the county is a part. Our findings demonstrate that, controlling for the county’s population, the number of health insurers increases and premiums decrease when a small county is bundled with one or more populous counties. // As the estimates in the first two columns of panel B indicate, being grouped in a populous region increases the expected number of entrants by between 0.6 and 0.8 insurers. ",1,Co-Primary,"Table 1, column 2, Panel B, Coeff of Grouped with large region","positive, significant",,"persons1864yrs2010, logPop",FE,Panel,areg,,U.S. county,,
1,dickstein-2015,bundle-premium,1,Effect of Small County Bundled with One or More Populous Counties on premiums,"In our first set of analyses, we investigate whether the number of insurers and the benchmark premium in less populous counties varies with the population of the region of which the county is a part. Our findings demonstrate that, controlling for the county’s population, the number of health insurers increases and premiums decrease when a small county is bundled with one or more populous counties. // The bundling also leads to an average decrease in annual premiums of between $200 and $300. ",1,Co-Primary,"Table 1, column 2, Panel A, Coeff of Grouped with large region","negative, significant",,"persons1864yrs2010, logPop",FE,Panel,areg,,U.S. county,,
1,dickstein-2015,population-insurer,1,Effect of population with number of insurers,"In our next set of analyses, we explore the effects of region definition on both the number of insurers and on health insurance premiums using data at the coverage region level. Our findings reveal that, on average, the number of insurers increases and premiums decline with coverage region size. // The results of this region-level analysis appear in Table 2. The dependent variable in these regressions is either the number of unique entrants observed in the region or the premium for the benchmark silver plan available in the region. The coefficient on log population suggests a positive and significant effect of a region’s population on the number of entrants and a negative effect on premiums",1,Co-Primary,"Table 2, column 2, Coeff of log population","positive, significant",,"persons1864yrs2010, logPop",FE,Panel,areg,,Medicare coverage region,,
1,dickstein-2015,population-premium,1,Effect of population with premium,"In our next set of analyses, we explore the effects of region definition on both the number of insurers and on health insurance premiums using data at the coverage region level. Our findings reveal that, on average, the number of insurers increases and premiums decline with coverage region size. // The results of this region-level analysis appear in Table 2. The dependent variable in these regressions is either the number of unique entrants observed in the region or the premium for the benchmark silver plan available in the region. The coefficient on log population suggests a positive and significant effect of a region’s population on the number of entrants and a negative effect on premiums",1,Co-Primary,"Table 2, column 4, Coeff of log population","negative, significant",,"persons1864yrs2010, logPop",FE,Panel,areg,,Medicare coverage region,,
1,fitzpatrick-2014,teacheryear-number,0,Effect of one more teacher with 15 or more years of experience pre-ERI on the number of experienced teachers exiting in the ERI period,"Our estimates show that the ERI program had large effects on the composition of teachers in Illinois schools; for each teacher with 15 or more years of experience at a school in the pre-ERI period, exit rates increased, average experience declined, and the number of new teachers increased substantially post-ERI. // Having one more teacher with 15 or more years of experience pre-ERI increased the number of experienced teachers exiting in the ERI period by 0.08 overall, with estimates that vary little across grades",0,Secondary,"Table 3, column 1, row 1, Coeff of (Teachers ≥ 15)ig × Postt","positive, significant",,enroll,DID,Panel,xtreg,year,school,,
1,fitzpatrick-2014,teacheryear-experience,0,Effect of one more teacher with 15 or more years of experience pre-ERI on the average teacher experiencein the ERI period,"Our estimates show that the ERI program had large effects on the composition of teachers in Illinois schools; for each teacher with 15 or more years of experience at a school in the pre-ERI period, exit rates increased, average experience declined, and the number of new teachers increased substantially post-ERI. //increased exit among more experienced teachers was accompanied by declines in average teacher experience of 0.41 years, or 2.6 percent, for every teacher with 15 or more years of experience pre-ERI.",1,Co-Primary,"Table 3, column 1, row 3, Coeff of (Teachers ≥ 15)ig × Postt","negative, significant",,enroll,DID,Panel,xtreg,year,school,,
1,fitzpatrick-2014,teacheryear-new,0,Effect of one more teacher with 15 or more years of experience pre-ERI on the number of new teachers,"Our estimates show that the ERI program had large effects on the composition of teachers in Illinois schools; for each teacher with 15 or more years of experience at a school in the pre-ERI period, exit rates increased, average experience declined, and the number of new teachers increased substantially post-ERI. // Overall, for each teacher pre-ERI with 15 or more years of experience, the number of new teachers increases by 0.073, or 19.8 percent relative to baseline",1,Co-Primary,"Table 3, column 1, row 5, Coeff of (Teachers ≥ 15)ig × Postt","positive, significant",,enroll,DID,Panel,xtreg,year,school,,
1,fitzpatrick-2014,teacheryear-math,1,Effect of one more teacher with 15 or more years of experience pre-ERI on math score,"We find the program did not reduce test scores; likely, it increased them, with positive effects most pronounced in lower SES schools.... Our estimates suggest that the teacher retirements did little to reduce student math and English test scores; in fact, the point estimates are positive and in some cases are statistically significantly different from zero. // Thus, despite the fact that having one more experienced teacher pre-ERI leads to significant declines in the teacher experience profile and significant increases in exit at the school-grade level, test scores rise, or at the very least do not decline",1,Co-Primary,"Table 5, column 1, Coeff of Post × Number ≥ 15 years of experience, pre-ERI","positive, insignificant",,enroll,DID,Panel,xtreg,year,school,,
1,fitzpatrick-2014,teacheryear-read,1,Effect of one more teacher with 15 or more years of experience pre-ERI on reading score,"We find the program did not reduce test scores; likely, it increased them, with positive effects most pronounced in lower SES schools.... Our estimates suggest that the teacher retirements did little to reduce student math and English test scores; in fact, the point estimates are positive and in some cases are statistically significantly different from zero. // Thus, despite the fact that having one more experienced teacher pre-ERI leads to significant declines in the teacher experience profile and significant increases in exit at the school-grade level, test scores rise, or at the very least do not decline",1,Co-Primary,"Table 5, column 2, Coeff of Post × Number ≥ 15 years of experience, pre-ERI","positive, significant",,enroll,DID,Panel,xtreg,year,school,,
1,fitzpatrick-2014,teacheryear-read_lowincome,1,"Effect of ERI on reading scores, lowest income schools","We find the program did not reduce test scores; likely, it increased them, with positive effects most pronounced in lower SES schools... For reading, the low-income, high-minority and lowest-baseline schools experience larger increases in test scores post-ERI for each teacher with 15 or more years of experience pre-ERI than their wealthier, low-minority, higher performing counterparts. In math, such a difference only is evident for the lowest versus highest baseline score schools.",1,Secondary,"Table 7, column 2, Coeff on Lowest income schools",greater than coeff on all other schools,,enroll,DID,Panel,xtreg,year,school,,
1,fitzpatrick-2014,teacheryear-read_lowwhite,1,"Effect of ERI on reading scores, lowest income schools","We find the program did not reduce test scores; likely, it increased them, with positive effects most pronounced in lower SES schools... For reading, the low-income, high-minority and lowest-baseline schools experience larger increases in test scores post-ERI for each teacher with 15 or more years of experience pre-ERI than their wealthier, low-minority, higher performing counterparts. In math, such a difference only is evident for the lowest versus highest baseline score schools.",1,Secondary,"Table 7, column 2, Coeff on Lowest percent white schools",greater than coeff on all other schools,,enroll,DID,Panel,xtreg,year,school,,
1,fitzpatrick-2014,teacheryear-read_lowbaseline,1,"Effect of ERI on reading scores, lowest income schools","We find the program did not reduce test scores; likely, it increased them, with positive effects most pronounced in lower SES schools... For reading, the low-income, high-minority and lowest-baseline schools experience larger increases in test scores post-ERI for each teacher with 15 or more years of experience pre-ERI than their wealthier, low-minority, higher performing counterparts. In math, such a difference only is evident for the lowest versus highest baseline score schools.",1,Secondary,"Table 7, column 2, Coeff on Lowest baseline score schools",greater than coeff on all other schools,,enroll,DID,Panel,xtreg,year,school,,
1,bove-2017,military-crime,1,Effect of military aid on total number of crime,"We find that (i) military aid reduces street-level crime; Column 3 of Table 2 shows that military aid reduces the total number of crimes: a 10 percent increase in the total value of military aid leads to a decrease of 5.9 crimes per 100,000 population.",1,Co-Primary,"Table 2, Column 3, Coeff of Lagged total aid","negative, significant",,lpop,IV,Panel,xtivreg2,year,U.S. county,,
1,bove-2017,military-larceny,1,Effect of military aid on larceny,"The effect is very pronounced for street-level crime types, like larceny and vehicle theft",1,Co-Primary,"Table 2, Column 8, Coeff of Lagged total aid","negative, significant",,lpop,IV,Panel,xtivreg2,year,U.S. county,,
1,bove-2017,military-vehicle,1,Effect of military aid on vehicle theft,"The effect is very pronounced for street-level crime types, like larceny and vehicle theft",1,Co-Primary,"Table 2, Column 9, Coeff of Lagged total aid","negative, significant",,lpop,IV,Panel,xtivreg2,year,U.S. county,,
1,sosina-2019,segragation-bw,1,"regressing Black–White expenditure disparities on measures of Black–White socioeconomic segregation,",The first finding to note is the lack of a statistically significant relationship between Black–White socioeconomic segregation and expenditure disparities,0,Secondary,"Table 3, column 3, coeff of Racial Socioeconomic Segregation on Black–White, total",insignificant,,rut_pop517,FE,Panel,xtreg,year,state,,
1,sosina-2019,racial-bw,1,regressing Black–White expenditure disparities on measures of Black–White racial segregation,"changes in racial/ethnic segregation within a state from 1999 through 2013 are associated with racial/ethnic disparities in spending, even after accounting for disparities in poverty. A one-unit increase in Black–White racial segregation is associated with $4986.22 shift in total per pupil expenditures (for every $10,000 of total spending) disfavoring the typical Black student’s district relative to the typical White student’s district",1,Co-Primary,"Table 3, column 1, coeff of Racial Segregation on Black–White, total","negative, significant",,rut_pop517,FE,Panel,xtreg,year,state,,
1,sosina-2019,segragation-hw,1,"regressing Latino–White expenditure disparities on measures of Latino–White socioeconomic segregation,","As with the Black–White expenditure disparity models, we find that there is no statistically significant relationship between Latinx–White socioeconomic segregation and Latinx–White expenditure disparities",0,Secondary,"Table 3, column 3, coeff of Racial Socioeconomic Segregation on Latino–White, total",insignificant,,rut_pop517,FE,Panel,xtreg,year,state,,
1,sosina-2019,racial-hw-infra,1,"regressing Latino–White expenditure disparities on measures of Latino–White segregation,",Increases in Latinx–White segregation are significantly related to shifts in per pupil infrastructure expenditures that disfavor the typical Latinx student’s district relative to the typical White student’s district,1,Co-Primary,"Table 3, column 1, coeff of Racial Segregation on Latino–White, infra.","negative, significant",,rut_pop517,FE,Panel,xtreg,year,state,,
1,ferraz-2011,first-corruption,1,Effect of Mayor in first term on Share of audited resources involving corruption,We find significantly less corruption in municipalities where mayors can get reelected. Mayors with reelection incentives misappropriate 27 percent fewer resources than mayors without reelection incentives. ,1,Co-Primary,"Table 4, column 6, coeff of Mayor in first term","negative, significant",,lpop,OLS,cross-sectional,reg,,municipality,,
1,ferraz-2011,judiciary-difference,1,Effect of judiciary district on difference between first-term and second-term mayors,"These effects are more pronounced among municipalities with less access to information and where the likelihood of judicial punishment is lower. //In Table 10, we see that the presence of public prosecutors or local media reduces the corruption differential between first-term and second-term mayors.",1,Co-Primary,"Table 10, column 1, coeff of First term × judiciary district","positive, significant",,lpop,OLS,cross-sectional,areg,,municipality,,
1,ferraz-2011,first-media,1,Effect of media on difference between first-term and second-term mayors,"These effects are more pronounced among municipalities with less access to information and where the likelihood of judicial punishment is lower. // We also find that the presence of local media has a direct effect on corruption levels (column 2). In municipalities with a second-term mayor, the existence of media reduces corruption by 5.3 percentage points. But in municipalities with a first-term mayor, corruption is 3.3 percentage points higher in areas with media relative to those without.",1,Co-Primary,"Table 10, column 2, coeff of First term × media","positive, significant",,lpop,OLS,cross-sectional,areg,,municipality,,
1,ferraz-2011,media-corruption,1,Effect of media on share of audited resources involving corruption,"These effects are more pronounced among municipalities with less access to information and where the likelihood of judicial punishment is lower. // We also find that the presence of local media has a direct effect on corruption levels (column 2). In municipalities with a second-term mayor, the existence of media reduces corruption by 5.3 percentage points. But in municipalities with a first-term mayor, corruption is 3.3 percentage points higher in areas with media relative to those without.",1,Co-Primary,"Table 10, column 2, coeff of Media","negative, significant, greater than coeff -(first term x media)",,lpop,OLS,cross-sectional,areg,,municipality,,
1,campante-2019,distance-conflict,1,Effect of distance to capital on average probability of conflic,"We show evidence that (i) conflict is more likely to emerge (and dislodge incumbents) closer to the capital// However, column 2 shows that countries with an average Polity score below (or equal to) zero—a threshold meant to encompass “autocracies” and “closed anocracies” as defined by the Polity IV dataset—display a strong negative correlation: conflict is more likely in areas that are closer to the capital.",1,Co-Primary,"Table 3, column 2, coeff of log distance to capital","negative, significant",,avg_logpop,FE,Panel,areg,year,nation,,
1,campante-2019,distance-misgov,1,Effect of distance on WGI PC (indicator of quality of governance),"and (ii) isolated capitals are associated with misgovernance. // Columns 1–2 confirm the message from the raw correlation. The correlation is statistically significant, and robust to the inclusion of the vector Xc of control variables.",1,Co-Primary,"Table 8, column 2, coeff of AvgLogDistance","negative, significant",,avg_logpop,FE ,Panel,reg,year,nation,,
1,chalfin-2015,mexican-rape,1,Effect of foreign-born Mexican population share on rape,"In contrast, the 2SLS results lead to a dramatically different impression. Indeed, immigration can be shown to have a protective effect on several crime types. In particular, a 1 percentage point increase in the immigrant share leads to a 13 percent reduction in rape, an 11 percent reduction in larceny, and a 15 percent reduction in motor vehicle theft",0,Co-Primary,"Table 2, column 2, panel B","negative, significant",,population,FE ,Panel,ivreg2,year,MSA,,
1,chalfin-2015,mexican-larceny,1,Effect of foreign-born Mexican population share on larceny,"In contrast, the 2SLS results lead to a dramatically different impression. Indeed, immigration can be shown to have a protective effect on several crime types. In particular, a 1 percentage point increase in the immigrant share leads to a 13 percent reduction in rape, an 11 percent reduction in larceny, and a 15 percent reduction in motor vehicle theft",0,Co-Primary,"Table 2, column 6, panel B","negative, significant",,population,FE ,Panel,ivreg2,year,MSA,,
1,chalfin-2015,mexican-motor,1,Effect of foreign-born Mexican population share motor vehicle theft,"In contrast, the 2SLS results lead to a dramatically different impression. Indeed, immigration can be shown to have a protective effect on several crime types. In particular, a 1 percentage point increase in the immigrant share leads to a 13 percent reduction in rape, an 11 percent reduction in larceny, and a 15 percent reduction in motor vehicle theft",0,Co-Primary,"Table 2, column 7, panel B","negative, significant",,population,FE ,Panel,ivreg2,year,MSA,,
1,slattery-2020,emp-incentive,1,Effect of employment on per capita incentives increase by 20 percent,"Firms tend to accept subsidy deals from places that are richer, larger, and more urban than the average county, and poor places provide larger incentives and spend more per job. s. // Table 3 presents the results. We find that a 20 percent increase in state per capita incentive spending is less likely when previous-year employment is higher.",1,Co-Primary,"Table 3, column 6, coeff of Percent of population employed in t − 1","negative, significant",,pop,FE,Panel,reghdfe,year,state,,
1,slattery-2020,governor-incentive,1,Effect of incumbent governor and an election year on increases in incentive spending,"Firms tend to accept subsidy deals from places that are richer, larger, and more urban than the average county, and poor places provide larger incentives and spend more per job. // While these economic determinants are important, political factors are especially important. The interaction between an incumbent governor and an election year is highly correlated with increases in incentive spending, suggesting a strong role for political determinants of incentive provision. I",0,Secondary,"Table 3, column 6, coeff of Governor can run as incumbent × election year","positive, significant",,pop,FE,Panel,reghdfe,year,state,,
1,slattery-2020,win-emp,1,Effect of Winning a Firm-Specific Deal on 3D industry employment,"Comparing winning and runner-up locations for each deal, we find that average employment within the three-digit industry of the deal increases by roughly 1,500 jobs.// Table 4 shows difference-in-differences estimates for a broader set of local outcomes. The results are more mixed and weaker for effects on employment outside the three-digit industry as well as on countywide outcomes.",1,Co-Primary,"Table 4, column 1, coeff of Winner × post","positive, significant",,pop,DID,Panel,reg,year,U.S. county,,
1,brinkman-2018,under-population,1,Effect of percent owners under 55 on UAAL/population,"old agents prefer a pay-as-you go system,while young agents find a fully funded system optimal. Empiricalevidence based on cross-city comparisons of pension liabilities is consistent with these predictions. // To further investigate this correlation we run cross-city regressions where the dependent variable is one of the four measures of unfunded pension liabilities and the independent variable of interest is the share of homeowners under the age of 55.",1,Co-Primary,"Table 2, columns 2, coeff of Percent owners under 55, UAAL/population","negative, significant",,"city_pop, pop_1980",FE,Panel,reg,year,city,,
1,brinkman-2018,under-income,1,Effect of percent owners under 55 on UAAL/income,"old agents prefer a pay-as-you go system,while young agents find a fully funded system optimal. Empiricalevidence based on cross-city comparisons of pension liabilities is consistent with these predictions. // To further investigate this correlation we run cross-city regressions where the dependent variable is one of the four measures of unfunded pension liabilities and the independent variable of interest is the share of homeowners under the age of 55.",1,Co-Primary,"Table 2, columns 4, coeff of Percent owners under 55, UAAL/income","negative, significant",,"city_pop, pop_1980",FE,Panel,reg,year,city,,
1,brinkman-2018,under-revenue,1,Effect of percent owners under 55 on UAAL/revenues,"old agents prefer a pay-as-you go system,while young agents find a fully funded system optimal. Empiricalevidence based on cross-city comparisons of pension liabilities is consistent with these predictions. // To further investigate this correlation we run cross-city regressions where the dependent variable is one of the four measures of unfunded pension liabilities and the independent variable of interest is the share of homeowners under the age of 55.",1,Co-Primary,"Table 2, columns 2, coeff of Percent owners under 55, UAAL/revenues","negative, significant",,"city_pop, pop_1980",FE,Panel,reg,year,city,,
